"","Gene 1","Gene 2","Gene 3","Gene 4","Gene 5","Gene 6","Gene 7","Gene 8","Gene 9","Gene 10","Gene 11","Gene 12","Gene 13","Gene 14","Gene 15","Gene 16","Gene 17","Gene 18","Gene 19","Gene 20","Gene 21","Gene 22","Gene 23","Gene 24","Gene 25","Gene 26","Gene 27","Gene 28","Gene 29","Gene 30","Gene 31","Gene 32","Gene 33","Gene 34","Gene 35","Gene 36","Gene 37","Gene 38","Gene 39","Gene 40","Gene 41","Gene 42","Gene 43","Gene 44","Gene 45","Gene 46","Gene 47","Gene 48","Gene 49","Gene 50","Gene 51","Gene 52","Gene 53","Gene 54","Gene 55","Gene 56","Gene 57","Gene 58","Gene 59","Gene 60","Gene 61","Gene 62","Gene 63","Gene 64","Gene 65","Gene 66","Gene 67","Gene 68","Gene 69","Gene 70","Gene 71","Gene 72","Gene 73","Gene 74","Gene 75","Gene 76","Gene 77","Gene 78","Gene 79","Gene 80","Gene 81","Gene 82","Gene 83","Gene 84","Gene 85","Gene 86","Gene 87","Gene 88","Gene 89","Gene 90","Gene 91","Gene 92","Gene 93","Gene 94","Gene 95","Gene 96","Gene 97","Gene 98","Gene 99","Gene 100","Gene 101","Gene 102","Gene 103","Gene 104","Gene 105","Gene 106","Gene 107","Gene 108","Gene 109","Gene 110","Gene 111","Gene 112","Gene 113","Gene 114","Gene 115","Gene 116","Gene 117","Gene 118","Gene 119","Gene 120","Gene 121","Gene 122","Gene 123","Gene 124","Gene 125","Gene 126","Gene 127","Gene 128","Gene 129","Gene 130","Gene 131","Gene 132","Gene 133","Gene 134","Gene 135","Gene 136","Gene 137","Gene 138","Gene 139","Gene 140","Gene 141","Gene 142","Gene 143","Gene 144","Gene 145","Gene 146","Gene 147","Gene 148","Gene 149","Gene 150","Gene 151","Gene 152","Gene 153","Gene 154","Gene 155","Gene 156","Gene 157","Gene 158","Gene 159","Gene 160","Gene 161","Gene 162","Gene 163","Gene 164","Gene 165","Gene 166","Gene 167","Gene 168","Gene 169","Gene 170","Gene 171","Gene 172","Gene 173","Gene 174","Gene 175","Gene 176","Gene 177","Gene 178","Gene 179","Gene 180","Gene 181","Gene 182","Gene 183","Gene 184","Gene 185","Gene 186","Gene 187","Gene 188","Gene 189","Gene 190","Gene 191","Gene 192","Gene 193","Gene 194","Gene 195","Gene 196","Gene 197","Gene 198","Gene 199","Gene 200"
"Gene 1",0,-1,1,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,-1,1,0,0,0,1,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,-1,0,1,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,1,1,0,0,0,0,0,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,-1,0,0,0,-1,-1,0,-1,0,0,-1,0,-1,0,-1,0,0,0,0,-1,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,-1,0,0,0,0,1,-1
"Gene 2",-1,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,-1,0,1,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,1,-1,0,1,0,0,0,0,0,1,0,0,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,-1,0
"Gene 3",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-1,0,0,1,-1,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,1,0,-1,-1,0,0,1,0,0,0,-1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Gene 4",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-1,0,0,0,1,0,0,0,0,0,1,0,0,-1,0,0,1,-1,0,0,0,0
"Gene 5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,1,0,-1,0,0,0,-1,0,0,0,-1,0,-1,0,0,0,0,1,0,0,0,0,-1,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,0,1,-1,0,0,0,0,-1,0,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,-1,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,1,0,0,0,1,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,-1,0,0,0,0,0,0,0,1,-1,0
"Gene 6",1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,-1,0,1,-1,-1,0,0,1,0,0,-1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-1,1,0,0,-1,-1,0,0,0,0,0,-1,0,0,1,0,0,-1,0,0,0,-1,-1,0,0,0,0,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,1,-1,-1,0,0,0,1,0,0,0,-1,1,0,0,0,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"Gene 7",0,0,0,0,0,0,0,1,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,1,-1,0,-1,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gene 8",0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,-1,0,0,0,-1,0,0,0,0,0,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,-1,0,0,0,-1,0,0,-1,0,-1,0,-1,0,0,0,0,-1,0,0,1,1,0,0,0,0,1,0,0,0,-1,0,0,0,-1,0,0,-1,0,0,0,1,0,0,0,0,1,-1,1,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,0,1,0,0,1,0,0,0,0,-1,0,1,0,0,0,-1,1,0,1,-1,-1,0,0,0,0,0,1,0,1,0,0,1,1
"Gene 9",-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,1,0,0,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,-1,-1,0,1,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
"Gene 10",0,0,0,0,0,-1,1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,-1,0,1,-1,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,1,1,0,0,0,0,0,-1,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,-1,1,0,0,0,0,-1,0,0,0,0,1,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,-1,1,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,-1,0,1,0,-1,1
